,Unnamed: 0,Date,Time Taken,Condition,Review,Rating,adr,label
482,482,,,Lamictal (lamotrigine) for Bipolar Disorder:,ive been on lamictal for around 45 months after my bipolar depression returned and wasnt being kept under control by my seroquel and prozac i did some research and saw lamictal had decent reviews my doctor started me on the medication and within a week i began to feel more energized and happier that was at 100 mg i now believe the depression is coming back and i have been upped to 200 mg along with 40mg of prozac the drug has done great things for me so far,9.0,depression,1
483,483,,,For Anxiety:,i have been on lamotrigine for 3 weeks for anxiety and bad mood swings started out on 25mg twice a day nothing changed moved up to 50 mg twice a day still no positive changes what so ever i am tired and lethargic by the evenings i am extremely irritable and yelling at my family ,2.0,"anxiety, mood swings",1
484,484,Somebody,"July 10, 2021",Lamictal (lamotrigine) for Bipolar Disorder:,i took this treatment with zyprexa it caused clumps of hair to fall out my feet swelled and while manic episodes were reduced i felt restless and could not focus enough to even read or listen to someone i felt agitated just like a manic episode but no explosive anger so no i do not recommend i went back to depakote on a smaller dose and get b vitamin and biotin injections twice a month to reduce hair loss it is working for me so far depakote is the only med ive tried that lets me focus and feel free of that awful agitation which is possibly the worst part of being bipolar,1.0,"agitation, anger, fall, manic episode",1
485,485,,,For Borderline Personality Disorder:,this drug has saved me ive been diagnosed with quite a few things borderline depression generalized anxiety and ptsd while this medication hasnt helped with my anxiety it has helped tremendously with the three others after trying 5 medications this is the only one to have helped and best of all for once no side effects i finally feel like myself again,9.0,"anxiety, depression",1
486,486,,,Lamictal (lamotrigine) for Schizoaffective Disorder:,while on and off this medicine since i was about 17 i overlooked this drugs effectiveness only to end up realizing how well this can stabilize me although at initially high doses it can create some fuzzinessfog in memory and cognitive disruptions the feelings of wellbeing i get outweigh its negative side effects that slowly dissipate over time i am now 22 and will continue to be taking this until i feel that my condition wont affect my life even if that sounds like a rare occurrence i highly recommend this medicine for mood disruptions dysfunctional thinking processes and other similar living disturbances keep calm and carry on,10.0,,0
487,487,Vse,"June 23, 2017",For Borderline Personality Disorder:,i was put on this whilst in a psychiatric ward after years of antidepressants and antipsychotics when i was finally prescribed lamotrigine it was amazing i took it along with antipsychotics and i felt a great decrease in fits of rage and destruction after taking this for almost a year being on a 175mg a day for the last 6 months my life is better than ever with a lessening of suicidal ideation overall it helped me so much and i would highly recommend it to anyone else with bpd,10.0,"rage, suicidal ideation",1
488,488,Panda514,"September 23, 2018",For Depression:,ive been on 100mg of lamictal for over 10 years i take it with an antidepressant havent found a single antidepressant that helps and i think ive pretty much tried them all but when i started lamictal years ago it truly saved my life i experienced a dramatic change in mood and everything became manageable my anxiety and depression have been worsening in the last year and im at a very low place and im a mess im going to ask doc about increasing lamictal by at least more 100mg i want my life back my anxiety and depression is now affecting my work and nothing else is helping i really hope doc says yes and i get control of my emotions and life again soon,8.0,"anxiety, depression",1
489,489,Cal,"July 20, 2019",For Bipolar Disorder:,give lamotrigine a chance if you have bipolar the titration is slow but once it starts working youll start to feel normal for the first time in a long time youll slowly start to feel better and better ive tried a million drugs this is the first to finally make me better,10.0,,0
490,490,grateful for medicine,"May 11, 2018",Lamictal (lamotrigine) for Bipolar Disorder:,i have been on lamictal for almost a year along with a daily dose of wellbutrin 150 xl that i have been with for three years petite and sensitive to medication i have done well on 50mg lamictal daily this medication has brought so much relief excellent addition to the wellbutrin i deal mostly with depression but also have been very mood sensitive and can be easily sent over the edge this medication brings me peace and well being having to deal with emotional instability is very stressful and burdensome for me and those i love that burden is lifted as the range of emotions that i have are much more manageable less worrying if i am going to have an outburst which means less shame to deal with no major symptoms other than very brief occasional and mild nausea after i eat overall it has made a huge improvement to my quality of life if you are in need of a stabilizer i hope it works for you,8.0,"depression, nausea",1
491,491,,,Lamictal (lamotrigine) for Bipolar Disorder:,i was prescribed this for bipolar ii and was told it would control my mania it worsened my mania terribly my personality changed i acted like a crazy person and gained a lot of weight im weaned off now and feeling better than i have in years be aware that the nice guidelines say this medicine does not control mania,1.0,mania,1
492,492,,,Lamictal (lamotrigine) for Bipolar Disorder:,i wasnt on this long enough to see anything positive because it made me lethargic gave me headaches body aches and completely sunk my libido two other people i know who went on lamictal around same time as me also had their libidos die,2.0,,0
493,493,,,Lamictal (lamotrigine) for Bipolar Disorder:,ive been on lamotrigine lamictal for about a year dr very slowly dosed me up to 150mg mostly because i keep missing doses it begins working immediately youll experience drowsiness with each dosage upgrade i started feeling more normal and balanced it has also reduced frequency and intensity of panic attacks no more tremors might be due to addition of proprananol i feel i should have been on this for years before now i think it has increased made my skin dryer but thankfully no rash it helped me cope with grief and aggression too ive insisted that dr never take me off this med,8.0,"aggression, drowsiness, rash",1
494,494,houdini95,"June 5, 2017",For Depression:,so far at a dosage of 200mgday this medication has turned my life around although i havent been diagnosed bipolar it has been enormously helpful and has destroyed my depression and anxiety it took a while to increase the dose but it was 100 worth the wait,9.0,"anxiety, depression",1
495,495,,,Lamictal (lamotrigine) for Bipolar Disorder:,hi all i left my opinion last year around october and things have changed just a bit i understood my illness is genetic bc my uncle had it and my dad has it but dont accept it i guess anyway 70 of cases have a genetic background so feel better about that you didnt chose this i feel lamictal is not working as well after two years but not a major change i will increase it from 200mg to 250 this week i control my depression with clonazepan i feel anxiety makes depression worse so when it kicks in then i feel stronger enough to make a prayer and it goes awaywe need to do some work in our brain everything that is negative you change it for yes and i can and i will,9.0,"anxiety, depression",1
496,496,,,Lamictal (lamotrigine) for Bipolar Disorder:,lamictal has been a life saver started when i was 18 after 4 years of unsuccessful treatment plus 23 years of emotional instability not treated started lamictal and i finally felt like the person i was always supposed to grow up to be i do get the morning woozies when i increase the dose for worsening symptoms but i have been more or less in remission very minimal side effects and generally effective as stand alone maintenance drug,9.0,,0
497,497,Mouseoutofthehouse,"May 10, 2017",For Post Traumatic Stress Disorder:,it took 5 years of chronic pain flashbacks galore nightmares loss of friends and family relations loss of a lot now that i think about it i read a post from someone that had similar experiences with losing their left arm due to ptsd constant shaking spasms and asked my psychiatrist to prescribe lamictal i have my arm back and can drive again my mood has been much better and i see the world as an opportunity rather than a reason to stay in bed i highly recommend this medicine for others that have seeked out many other things and had little results i started on 25 mgs and im now comfortable no side effects other than feeling a little numb at first emotionally,10.0,"chronic pain, pain",1
498,498,Rose,"December 21, 2019",For Migraine Prevention:,ive suffered from severe migraines with aura since 7th grade multiple per month in my twenties i was given relpax other meds to help with the pain i tried preventative meds to no success 75 years ago i began taking lamictal gradually increased to 200mg a day i get the aura only a couple times a year now and for much less time but i no longer get the migraine pain at all not once in 75 years lamictal changed my life,10.0,"aura, migraine, pain",1
499,499,,,For Depression:,i have had depression my entire life and lamictal started working for me within a month or so this medication hasnt solved all my issues but has made my depression manageable i still have to make sure im getting regular exercise eating well getting enough sleep spending time in the mountains and in the sun and showering regularly if i dont i will cycle back into a depressive episode i know this is probably common for the general population but i wanted to make it clear that before those activities wouldnt curb my depression in any way i give this 910 as it has caused my eye sight to decline have noticed some gum recession some sexual side effects as well as some hair loss supplementing with selenium has helped,9.0,"depression, depressive episode",1
500,500,Creamsoda,"August 7, 2016",Lamictal (lamotrigine) for Bipolar Disorder:,this medicine gave me way too much energy the other night i went on a run at midnight because i had to burn off the energy i would say it definitely made me extremely manic i also stopped getting my period on it and my breasts grew larger as well strange,4.0,burn,1
501,501,,,For Anxiety:,i was on lamotrigine for over 12 months its now causing pressure in the head bad anxiety everywhere i go im having sleeping problems certain foods trigger anxiety where it didnt before it has got to the stage where im scared to eat certain foods drive anywhere the anxiety is constant some days are better than others the dr is weanning me off it ive had enough of this drug,2.0,anxiety,1
502,502,,,Lamictal (lamotrigine) for Bipolar Disorder:,i have been on this for about 8 yrs it is the only thing that made me feel normal with out being loopy or high my only thing is that i am needing to either increase it or add something open to suggestions,9.0,,0
503,503,Anonymous,"September 10, 2010",Lamictal (lamotrigine) for Bipolar Disorder:,before starting lamictal id been hospitalized 5 times for rapid cycling bipolar disorder 1 made one serious suicide attempt and had more than 50 ect treatments ive been on almost every mood stabilizer antidepressant and antipsychotics lamictal has been the most helpful and has made me feel like almost a normal person living and back to professional life side effects hair thin nails okay sometimes memory and concentration problems but hey i did have a lot of shock therapy once i had sudden severe double vision that lasted several hours overall has been most effective with best side effects for me smoother moods less severe better weight better skin better libido better gastrointestinal effects than lithium other mood stabilizers or antipsychotics,,"bipolar disorder, shock, suicide, suicide attempt",1
504,504,,,For Depression:,after being diagnosed with mdd i was hospitalized for three weeks and begun on a series of ect treatments that got me well enough to be out on the street i then spent 212 years in outpatient therapy that was a total waste of my time a psych aprn at the va put me on lamotrigine it along with some excellent therapy got me feel better and stop the suicidal thoughts that had filled my brain for almost three years i started on 200mgday in 2015 and have stayed on the same dose since then i would rate it 10 out of 10 for effectiveness with the results beginning a week after starting it,10.0,,0
505,505,,,For Depression:,i have bipolar several anxiety issues ocds ptsd trichotillomania depression with some psychotic symptoms etc if your conditions are quite severe there is only so much a single medication can do however for me lamotrigine has built a foundation which reduces my severe depression suicidal most of 2018 due to bipolar anxiety getting much worse totally disabling with no side effects except maybe it is a little harder to fall asleep but i have intrusive images flashbacks when trying to fall asleep anyway i am still depressed but not frighteningly so now i have taken so many meds with so many terrible side effects so having virtually none on this is a rare miracle it does little for ptsd or anxiety or ocds for me well it helps after ive just taken it and gives me back energy depression destroyed but this only lasts 23 hours maybe i just need a lot more already on target dose,9.0,"anxiety, depression, depression suicidal, fall, trichotillomania",1
506,506,,,Lamictal (lamotrigine) for Bipolar Disorder:,after being formally diagnosed with bipolar ii i tried saphris abilify and olanzapine before a different doctor prescribed lamictal it is the gold standard in treating bp depression and was instantly effective for me my depression diminished my mood elevated i had little to no side effect but my hypomania did not seem to be affected years later i tried to wean myself off to start a lithiumlexapro combo and i immediately crashed i will definitely stay on lamictal long term to treat bipolar depression,10.0,"depression, hypomania",1
507,507,,,Lamictal (lamotrigine) for Epilepsy:,lamictal did not work for me 200mg in am and 200mg pm no changes with seizures in my sleep but side effects were insomnia constipation and hair loss i had to take sleep aid to get a decent night sleep or else 2 or 3 hours was all i could get,1.0,"constipation, insomnia",1
508,508,,,For Post Traumatic Stress Disorder:,i have been on lamotrigine for a month now titrated up to 100mg even with 25mg i could start to notice some effect i think it was not quite the therapeutic dose and still had my issues related to ptsd like anger rumination disassociation with 100mg its really starting to be noticeable my coping techniques in therapy seem possible for once before they felt like a lost cause because if i was fully triggered everything would go out the door now i can really reel it in i have a lot more space in my brain to process my traumas im ok with feeling my emotions because im not so disassociated or triggered it seemed to break my coping via alcohol i stopped isolating this really should be considered a first line medication for ptsd i had to take 8 or 9 different medications to get here but this one feels like the winner its markedly different than anything ive taken added benefit zero side effects,10.0,anger,1
509,509,,,Lamictal (lamotrigine) for Bipolar Disorder:,i have been on this drug for 4 weeks i notice very subtle changes ive titrated up 25mg a week every week and im currently taking 125 mg i still am probably 3 weeks away for full effects but i am noticing some good things i no longer think about killing myself all day and i have less anxiety than i did four weeks ago i feel optimistic that better days are ahead i also take ativan for anxiety but will likely discontinue once im at the key mg amount which i believe is 200,6.0,anxiety,1
510,510,,,Lamictal (lamotrigine) for Bipolar Disorder:,ive been on 30 medications for anxiety and depression on and off label ketamine riluzole nemenda t3 and more nothing helped and my relationship was deteriorating lamictal brand name was introduced and at a low dose all the way to 200mg twice a day 400mg total its a life changer ive been able to hold a relationship and get married while enjoying life the medication started with itchy bumps on feet and elbows but this goes away i went extremely slow on titration with claritin and it resolved its a different mechanism of action please bring this medication up with your provider,10.0,"anxiety, depression",1
511,511,,,Lamictal (lamotrigine) for Bipolar Disorder:,lamictal is a great medication for the depressive side of my bipolar 1 disorder but try as i may it is not a good monotherapy meaning i cant take it alone i need another mood stabilizing medication with it or it causes anxiety and irritability to worsen im giving it 7 of 10 stars because it doesnt work for bipolar 1 as a monotherapy and has effected my memory and ability to recall words and to read quickly side effects for me are reading difficulty memory issues and break through anxiety and irritability,6.0,"anxiety, irritability",1
512,512,,,For Bipolar Disorder:,after a med cocktail of xanax for sudden anxiety attacks zoloft lithium klonopin for everyday anxiety wellbutrin i still felt severely depressed eventually suicidal i went to my psychiatrist in extreme distress with a constant stream of tears she sent me to an inpatient facility where they put me on lamictal within 7 days i felt a drastic difference stable focused even bubbly but not manic i take 50 mg 25 in the am 25 in the pm i am so thankful for this medicine,10.0,"anxiety, distress",1
513,513,Unequivocally_,"June 7, 2016",For Bipolar Disorder:,lamictal has been a major eye opener for me i was astonished when the medication started to take effect within a week or two at how my condition was affecting my daily life since being on 200 mg per day i am able to wake up on time for work attend my softball and hockey games socialize with my friends and take control of my life ive spent the last 3 to 4 years in constant turmoil jumping from medication to medication trying various cocktails most of these had major side ffects that made them unbearable in the long run lamictal on the other hand has virtually 0 side effects and almost 100 symptom control i would recommend it to anyone suffering with bipolar ii,9.0,,0
514,514,,,Lamictal (lamotrigine) for Seizure Prevention:,i can judge this medication being successful due to fewer holes in my drywall and fewer injuries i cant usually remember my seizures so i base them on others input and injuries from thrashing i take 250mg which seems to have cut down incidents to almost zero major gratitude there,9.0,,0
515,515,,,For Seizure Prevention:,i take one lamotrigine in the morning and one at night i have had no side effects that i am aware of i hope it is not doing any damage i think my short term memory is not as good as it once was i write down things i need to remember more than other times in my life but many of my friends do too however i am now 75 years old and can still do all activities i needwant to,10.0,,0
516,516,,,Lamictal (lamotrigine) for Bipolar Disorder:,i was taking lithium and seroquel to treat bipolar disorder lithium seemed to help my depressive moods but when lamictal was added into the mix it helped even out my manic moods it works wonders for my anxiety i am so much more calm levelheaded and less aggressive on this medication i would recommend this medication to anyone with bipolar i actually did reccommend to a friend seriously a lifesaver,10.0,"anxiety, bipolar disorder",1
517,517,,,For Bipolar Disorder:,this is about my daughternot me my daughter is 20 years old and has bipolar disorder she has suffered with this for the last six yearsshe has seen four psychiatristsa few therapistsetcshe had to get her gedshe had to drop out of college three times because her moods were not being controlled by anything we tried it all she was also committed twice for mania and depression her new psych put her on lithium last year and it stopped the mania but no ssri would pull her out of the severe depression she was in for so long and she tried like eight different ones finally she got prescribed lamictal and within a week she was her old self happy no more mixed episodes no more sadness and she was humming and laughing she said she felt like the last six years were a blur she had to titrate slowly and she is only on 50 mg right now but man what a difference if you are bipolar i highly recommend you try this first it worked wonders for us blessings,10.0,"bipolar disorder, depression, mania",1
518,518,coleroo,"February 19, 2018",For Anxiety:,yes i just started lamictal yesterday and i didnt think it would work for me at first intake not this fast but to my surprise i was shocked i can honestly say this med has made me feel more focused and hardly any anxiety at all ,,anxiety,1
519,519,kjm626,"July 16, 2015",For Bipolar Disorder:,this medication saved my life im not diagnosed officially with bipolar iii just have a tendency to have pretty bad mood swings my psychiatrist put me on lamictal a long time ago but for whatever reason i never took it finally in 2012 i decided to give it a shot and it turned my entire life around i used to blow up about the most irrational things my family was afraid to confront me with problems because they knew that i would blow everything out of proportion since starting on this medication i am so cool calm and collected nothing really rattles me i am able to see life clearly i get along with everyone its all thanks to lamictal,10.0,mood swings,1
520,520,,,Lamictal (lamotrigine):,have been taking 200mg lamictal for over 10 years it doesnt seem to help anymore plus im at a different age and stage in my mh i want to decrease but doctors and psychs keep avoiding it i think because there are no studies on long term issues with withdrawal and decreasing getting to the point where im going to just try decrease myself by halving my pills,6.0,,0
521,521,,,Lamictal (lamotrigine) for Seizure Prevention:,i have been on lamictal for 7 years and have not had any seizures my seizures were caused by scar tissue from having a brain tumor removed i started on dilantin but the side effects were so bad i couldnt work so my neurologist started me on lamictal i didnt lose weight but i am frequently dizzy and definitely have cognitive and memory issues i find i have to focus on tasks and dont multitask effectively anymore i wouldnt give this medicine up because it controls my seizures im fortunate that my medical plan covers brand name but i have to pay more,9.0,scar,1
522,522,redhotgma,"February 1, 2011",Lamictal (lamotrigine) for Bipolar Disorder:,i am a young 60 year old female no one believes me that i am really 60 i was just diagnosed with bipolar 2 i have been depressed for years and the antidepressants just stopped working i over the last 8 months had become very angry irritable happy at times and severely depressed to the point of wanting to die every day my doctor finally sent me to a mental health professional and she diagnosed me bipolar i started taking lamictal and the first week i noticed i was feeling more even and not depressed a month later now i feel as if i was handed my life back i did have nausea with it but that went away now i feel at peace inside i have no depression and am finally happy thank you lamictal ,10.0,"depression, nausea",1
523,523,,,Lamictal (lamotrigine) for Schizoaffective Disorder:,i have been taking lomtrigine for a year now it has made me more depressed than i was before i started this medication my emotions are totally numb i dont have any joy in my life its like i am a walking zombie just going through the motions i would not recommend this drug it has helped some people but its not worth the side effects for me,1.0,,0
524,524,,,Lamictal (lamotrigine) for Bipolar Disorder:,found lamictal to be wonderful with no side effects cant say that about many medicines really worked for mood disorders no withdrawal symptoms when i stopped it either while i do not currently take this if i am having a rough time with depressionmania this is what i request,10.0,,0
525,525,Wkumomma,"February 4, 2013",Lamictal (lamotrigine) for Bipolar Disorder:,i have been on lamictal for about two months yes i have some side effects dry mouth double vision sometimes when i blink it goes away joint and muscle pain and now i think acne i take 300mg during the day 200mg at night i also take gabapentin for muscle aches and joint pain which really helps i also take klonopin when necessary i am prescribed for half twice a day and one at night but dont need it i have a ton of energy and lost weight food no longer is my priority i exercise daily and feel fantastic i do have anger issues i have always has that i am in therapy also i think and feel like a different person so the side effects far outweigh going off medicine good luck,9.0,"acne, anger, dry mouth, pain",1
526,526,,,For Bipolar Disorder:,29f had depression since 15 tried all diff kind of medications nothing really ever helped me there were months and years of not taking care of my self as i should bc i physically could not move off of the couch due to my depression also struggled with anxiety all my life i would hide sometimes and hate seeing ppl esp family for some reason i felt guilty any ways fast forward i started lamictal in january 50 mg bumped up to 100 then 200 and i swear i have never been better i started working out in june eating better scheduled appts for dermatologist started cooking eating healthy it truly has been life changing for me i have a nice routine going in my house hold and i feel great no longer experience anxiety i even had 2 huge parties at my house bc i have been feeling so much better good luck every one dont give up on yourself ,10.0,"anxiety, depression",1
527,527,,,Lamictal (lamotrigine) for Seizure Prevention:,my neurologist decided to try lamictal with me because of the inefficiency of topamax as i was weening off topamax he put me on 300mg of lamictal xr after a few weeks i was solely on lamictal and no more topamax yet the first two weeks i had two seizures so my doctor decided to put me on 1000mg of keppra ive had a few more seizures on lamictal and it was very random i believe that lamictal is not beneficial by itself but combined with another drug it seems to help out although it helps a little bit the side effects are fatigue weakness and low appetite these side effects werent as bad as topamax but they werent the best in the end ive been seizure free for the last six months on lamictal and keppra,6.0,fatigue,1
528,528,,,For Bipolar Disorder:,this drug has been my savior i started it first in 2015 but went off it because my dose was too high i had an overblown fear of getting lamictal rash or forgetting to take it consistently which can result in the need to restart the dosing up process six months ago i saw different psychiatrist who calmed me about the rare side effects and explained that if i missed a day that i didnt have to dose up again im currently on 150mg i still experience some bipolar ii symptoms but they are completely manageable a higher dose stopped my symptoms completely i feel in control for the first time in my life after 20 years of suffering for those like me who were misdiagnosed and had traumatic experiences with antidepressants dont be afraid,9.0,"fear, rash",1
529,529,,,For Bipolar Disorder:,ive been bipolar since ive been 19 and am now 58 ive been taking lamictal 50mg daily for at least 20 years i also was taking wellbutrin 200mg daily for the depression which i just went off tapered gradually over 6months for the first time in 20 years i am very stable and this i attribute to the lamictal its been a real life saver for me ive been out of the hospital for 30 years i am a successful nurse im married and have 2 beautiful children who are now married its not easy i never thought life would be normal back in my early diagnosis days dont give up take the meds but always tweak them with the doc if they dont feel right for you keep busy and find something do with with your life that gives you value ,10.0,depression,1
530,530,Anonymous,"September 28, 2009",Lamictal (lamotrigine) for Bipolar Disorder:,i had been diagnosed with bipolar disorder i had previously taken depression medicines of which none of them did any good i have been on this medicine for about 2 12 months i consider it a godsend this medicine had changed my life i could not imagine how much of change i am now living the medicine has stopped my compulsive addictions i am no longer a slave to my mind and obsessions that used to control my life i am totally grateful for this medicine and its benefits,,"bipolar disorder, depression",1
531,531,Kevin,"February 4, 2020",For Migraine Prevention:,ive suffered with chronic migraine on and off since my teens perhaps as a result of a tbi suffered after taking a swan dive off a ladder when i was 12 a very severe period started about 25 years ago with daily pain levels of between 79 where a 7 is barely being able to keep my eyes open and a 9 means hours pacing hoping to throw up and finally being able get horizontal and get to sleep after numerous experiments with antimigraine meds antidepressants supplements diets therapy etc i was referred to neurologist outside philadelphia the neurologist was working with psychiatrist and after working with the two of them we settled on lamotrigine ive been on it for several years now and weve settled on a sweet spot of 200 mg while lamotrigine has not completely eliminated my migraine it has made a tremendous difference thumbs up from here,9.0,"migraine, pain",1
532,532,,,Lamictal (lamotrigine) for Bipolar Disorder:,i was prescribed lamictal for cyclothymia disorder although i have only been on lamictal for 3 months 200mg i have noticed a significant change in my sleeping habits i went from being hypomanic and only sleeping 24 hrs a night to sleeping a normal 8 lamictal has made me a morning person something i never thought was possible it has dampened my depressive episodes considerably as i no longer have hypersomnia with intense despair the only side effect i experienced was moderate headaches within the first few weeks i was skeptical and afraid to try this drug but so far i am very glad that i did,7.0,hypersomnia,1
533,533,,,For Bipolar Disorder:,i have been on lamictal lamotrigine is the generic i take for 5 years and i take 400mg a day for bipolar 2 it has changed my life i rarely even take naps anymore and before lamictal i would stay in bed the trick to any medication is to take it the same time everyday it took less than a week for my husband and i to notice a significant change in my personality i have accepted that i will be on this for the rest of my life and thats fine because lamictal gave me my life back,10.0,,0
534,534,JTK,"December 31, 2011",Lamictal (lamotrigine) for Bipolar Disorder:,i was told that lamictal might help me find strength well it did a strength that was inside me all the time but was drowned out by fear i have been on this pill for 10 months now and the horrible fear scenarios that have plagued me since an early age have all stopped i am far more in charge of my life now i only wish i could have had it before first effects of pill were immediate but it took some months to take full root,9.0,fear,1
535,535,,,For Depression:,my diagnoses chronic treatment resistant unipolar depression gad w anxiety attacks adhd i have been on lamotrigine as both mono and polytherapy i am currently in remission chronic unipolar depression 9 months now lamotrigine has by far been the most effective alone or combined with almost no side effects the only one being paresthesias tingling in mouth fingers and toes after reducing my daily dose from 200mg to 150mg i have no side effects with lamotrigine ive never felt better in my life current meds 1x daily in the am lamotrigine 150mg bupropion xl 150mg paxil 30mg propranolol 20mg bid if higher anxiety that day adderall ir 30mg in the am 20mg at 2pm,9.0,"anxiety, depression",1
536,536,,,For Depression:,im sort of disappointed in this drug i took a gene test that examines how my body metabolizes drugs and which ones might have a an effect and lamotrigine was the only medication that i could metabolize fine and was also considered a therapeutic option i slowly titrated up to 200mg and then moved even up to 300mg it just ultimately didnt do anything no side effects but absolutely no benefits at all nothing glad it worked for others though,3.0,,0
537,537,,,For Post Traumatic Stress Disorder:,ive been on lamictal for about two months now slowly titrating up from 50 mg to 100 mg with plans to increase soon and ive already noticed such a huge difference in my mood and my increasing ability to not dwell on traumatic thoughts my mental health was already not great before my assault two years ago and ever since then ive felt like all of my hard work up to that point had been erased since then ive cycled through pretty much every ssri available and have never felt a noticeably positive difference thankfully my doctor was more than open to my idea to switch to a mood stabilizer and prescribed lamictal before this i felt like i was constantly reliving my trauma and that mostly manifested as extreme anger and irritation largely directed at those closest to me i still get irritated and overemotional sometimes but it is not nearly as devastating im hoping future dosage increases will help even more,10.0,"anger, assault, trauma",1
538,538,,,For Depression:,my dr started me off on 25mg i took half of the 25mg for 10 days im on 25mg for 5 days already im so use to not feeling well from not knowing what is wrong with me from feeling dizzy trembly head in the clouds mood swings depressed and constantly irritable short tempered confused disorientated forgetful and extremely tired all the time racings thoughts and always thinking of what i need to do next like im not present after taking 25mg for the 5th day a full tablet somehow i feel very relaxed and all these symptoms above im not really feeling them or im looking to see if im feeling it deep down but im not that means that the meds is working right my mind feels like its present i dont feel like my mind is all over the place i am having a normal feeling that feels rather therapeutic my mind is more clearer and my concentration has improved quite a lot im starting to see life differently im more confident because inwardly i feel more healed,10.0,mood swings,1
539,539,ErinW,"October 26, 2009",Lamictal (lamotrigine) for Bipolar Disorder:,lamictal has been a lifesaving mood stabilizer for me the only serious downside is that it causes what i call old lady skin thin fragile and poor healing as well as mucous membrane fragility i initially did very well on 200 mg and suddenly developed severe rash eight months in rare for it to take that long i successfully and slowly rechallenged and 200mg is where the skin issues kick in im back down to 150mg and my slowhealing bug bites from the summer are finally fading away however even if i had skin like the crypt keeper for the rest of my days i cant praise lamictal enough it gave me my life back whats a little skin in exchange,9.0,rash,1
540,540,,,For Borderline Personality Disorder:,there has never been a better medication for me to help contain my moods i am a very emotional person and go from one extreme to the other from morning to night my doctor says i am not bipolar but that i have borderline personality disorder i am also anorexic this medication helps manage my mood i would not be able to go from day to day without this i have been on 225mgs for 5 years no side effects that i am aware of i wish i could go higher on the dose but it interferes with birth control medication estrogen,10.0,personality disorder,1
541,541,Anonymous,"December 20, 2011",Lamictal (lamotrigine) for Bipolar Disorder:,i have been diagnosed with bipolar initially i really did not believe that i had this disorder however i feel so much better after 1 month on this medicine i feel normal for the first time in 4 years i am happy and energetic i also notice a significant improvement in my memory and concentration since the medication has made a significant improvement in my quality of life i am no longer in denial,10.0,,0
542,542,itssoeasy,"November 3, 2007",Lamictal (lamotrigine) for Seizure Prevention:,i participated in a clinical trial of lamictal many years ago with no side effects and have taken it ever since my only problem is that it is still generic according to the fda although a couple of websites say that generic forms are available i have had no side effects at all from lamictal and take it with topamax i have liver tests once a year now other people i know take it with other seizure medications and they tolerate it well too,,,0
543,543,,,Lamictal (lamotrigine) for Bipolar Disorder:,i started taking lamictal to treat my bipolar 2 disorder at first the medication really helped my constantly manic depression and i loved it then i noticed the fogginess and my brain felt like it wasnt as sharp the more my doctor increased my dose the more i started to swell eventually i had gained 5 lbs just in water retention m joints would ache and i couldnt take it anymore my doctor switched me to topamax and i can really tell a difference i loved the emotional effect from the lamictal but the physical side effects were unreal,8.0,"ache, depression, water retention",1
544,544,,,For Post Traumatic Stress Disorder:,ive been on lamotrigine for complex ptsd for just under 3 weeks the first two weeks i was on 50 mg now im on 100mgseems to be doing its job i did have a very slight hive like rash first day both when i started and when i raised my dose but the passed in about ten minutes the main thing i has noticed is the racing and looping thought patterns have greatly reduced i also have a slight hyper activity but i just put that down to my natural self all in all im glad i finally took a medication as in the past it was anti depressants and anti anxiety drugs which didnt help me at all,9.0,"anxiety, rash",1
545,545,,,For Bipolar Disorder:,i started lamotrigine only one week ago for classic bipolar and an anxiety disorder i noticed it starting to work on day two and really noticed a difference on day three it is life changing before my head was overwhelmed with many thoughts processing many of which were negative angry thoughts and now my head is calm and quiet my thoughts are now all positive and nice i dont think i could say mean things even if i wanted to because literally my brain blocks it my anxiety has gone away too what a great feeling i had no negative side effects i was told it may cause weight loss and memory loss but since my head is much more relaxed without anxiety i have started to eat normal again and i have actually had improved memory,10.0,"anxiety, anxiety disorder, memory loss",1
546,546,,,For Post Traumatic Stress Disorder:,my ptsd was triggered almost 15 years my loss my moods went from positive happy and able to cope with life to the extreme opposite i didnt like who id become or know what to do after getting in to the doctor he immediately confirmed what my primary care suspected i had ptsd he discussed using lamotigine and steadily increasing the dose over the next year to reduce the anger anxiety and hopelessness that had come over me its been almost 2 years and while ive struggled at times taking lamotrigine made living possible i no longer am so quick to anger anxious or worn down my sleep patterns have also improved,10.0,"anger, anxiety",1
547,547,,,Lamictal (lamotrigine) for Bipolar Disorder:,vivid dreams nightmares night terrors sleep paralysis frequent awakenings during sleep thought blocking memory lapses word retrieval problems concentration sleep disorders eventually fade but they were certainly debilitating after 200 mg my mother reported i had strange behavior a few times that i dont remember besides these sideeffects it has a very noticeable effect on depression i would risk all those adverse reactions for this pill saved my life,9.0,"depression, paralysis, sleep paralysis, thought blocking, vivid dreams",1
548,548,,,Lamictal (lamotrigine) for Bipolar Disorder:,this is a very good medication imo when you titrate up to the dose intended you will notice subtle differences many times i have thought that this had flattened me out but when i backed off the dose symptoms came roaring back no noticeable side effects for me helps stability very well maybe the cause of some anxiety not much tho,9.0,anxiety,1
