,Unnamed: 0,Date,Star,Condition,Rating,adr,label
427,427,8/7/2006 5:11:49 PM,4 Stars,Rated  for Depression Report ,lamictal for depression almost better than ssris summary let me start by saying lamictal really works in my opinion it had a very distinct effect on my mood unlike ssris that tend to be less pronounced it worked good i probably would have stayed with it but sideeffects were an issue for me the big sideeffects were acne flareups doctor denies this should be from lamictal and extremely rapid weight gain it took me a while to realize the lamictal was giving me a huge appetite and i gained 10 pounds and fast have since lost the weight after going back to prozac original review with updates very good after six months i can honestly say this is the most effective antidepressant ive ever tried a welcome change from the typical ssri i started week one at 25mg daily starterpack i felt nothing at all and was worried this medication would be a failure then increased to 25mg x 2 for about two weeks as per the starter pack there was a very subtle improvement in my mood i did have a few occurences of doublevision during the second week i was also really tired upon switching to 100mg at week four my mood continued to improve and side effects disappeared completely doctor now has me set at 200mg and im feeling the best i have in a long time rarely have a blue day update at month six november 2005 i asked the doctor if he would let me take 150mg wellbutrin because i was having a big appetite and gaining weight positives 1 greatly improved and stable mood 2 no emotional blunting eg laugh cry 3 very few side effects 4 no reduction in sex drive or performance negative 1 increased appetite 2 caused my old acne to flare up a bit,"acne, depression, increased appetite",1
428,428,8/7/2006 3:19:41 AM,4.5 Stars,Rated  for Bipolar II disorder Report ,bipolar ii rapid cycling lamictal is great lamictal has ben great virtually no side effects except headaches with dosage increases on a high dose 500mg day not as effective at 200mg for me feels like i am taking nothing except for my mood is improved and the cycling has slowed down dramatically i am very sensitive to medication side effects poor metabolizer have suffered horrible side effects from mood stabilizers and antipsychotics lamictal has alot less risks associated with other meds and tolerability for me has been great,,0
429,429,8/5/2006 5:07:23 AM,4.5 Stars,Rated  for Bipolar II disorder Report ,it was a great find after trying various meds and combos of meds my pdoc and i found a great combination lamictal is most definitely balances my mood with the help of 2 other meds i was on lithium which did not work as well and pdoc would not put me back on it after i overdosed on it,,0
430,430,8/3/2006 10:25:50 PM,4.5 Stars,Rated  for Bipolar I disorder Report ,most effective for me lamictal has been the most effective medication for my bipolar disorder i began taking 3 years ago after several other medications failed with terrible side effects we increased the medication slowly until we found the dose that worked for me i no longer experience episodes of mania and etreme depression i consider this my wonder drug ,"bipolar disorder, depression, mania",1
431,431,8/3/2006 1:24:06 PM,5 Stars,Rated  for Bipolar II disorder Report ,works well for me once i finished the 8 weeks of ramping up the dose which was hard for me each time the dose increased i would have a couple of days of panic and anxiety other than the anxiety panic during the doseage changing phase i have experienced no side effects what so ever i find myself with a normal spectrum of emotions for the first time in my life i always thought that i was totally normal despite bouts of major depression involving some selfmutilation and 2 suicide attempts one of which landed me in a hospital for 2 days with seizures and dangerously rapid heartbeat after getting into a steady relationship that was as stable as i was capable of keeping it i realized that i was an emotional wreck with a lot of encouragement and affection from my partner i was able to go in for talk therapy and eventually for a psychiatric evaluation i was completely taken by surprise when the psychiatrist told me that she thought i was bipolar i thought i was just depressed i resisted the diagnosis for a while then tried geodon geodon did not work for me i became sluggish anxious and had really drastic mood shifts even for me which is saying a lot that almost ended in a 3rd suicide attempt once i reached the point of serious suicidal thoughts i immediately discontinued the geodon after only about 2 weeks of treatment i did some research and asked my psychiatrist if i could try lamictal she agreed and things have been really good ever since i am finally able to take positive steps with the advice given to me by my therapist im finally under enough emotional control to be able to try things consistently and to be able to see when things are shifting one way or another and need some kind of attention preventative steps i am so so so happy with the results i have had from lamictal i hope that it helps others as much as it has helped me,"anxiety, depression, major depression, suicide, suicide attempt",1
432,432,8/3/2006 5:06:59 AM,5 Stars,Rated  for Bipolar II disorder Report ,love lamictal i was put on lamictal along with an antidepressant i did not do well since i had a horrible history with antidepressants the doctor decided just to stay with the mood stabilizer i needed a little boost after about three months i became a little hypomanicbut as of this moment i feel great i take nothing but the lamictal i hope it continues to work considering that both the doctor and i know my options are very limited since i cannot tolerate antidepressants and i refuse to take lithium,,0
433,433,8/3/2006 4:48:44 AM,2 Stars,Rated  for Bipolar I disorder Report ,not there yet no side effects and thats great going back to doctor next week maybe we might increase dosage,,0
434,434,8/3/2006 1:35:50 AM,4.5 Stars,Rated  for Bipolar Disorder NOS Report ,excellent med for totally stablizing your mood this is the only medication that doesnt make me feel like a zombie the only negative thing i can say about it is that it causes major hairloss i have read numerous articles on various web sites were people are complaining of the same symptoms i wish the drug company would list that as a side effect i am a type 1 bipolar and have been hospitalized in the past,,0
435,435,8/3/2006 1:35:37 AM,4.5 Stars,Rated  for Bipolar I disorder Report ,excellent med for totally stablizing your mood this is the only medication that doesnt make me feel like a zombie the only negative thing i can say about it is that it causes major hairloss i have read numerous articles on various web sites were people are complaining of the same symptoms i wish the drug company would list that as a side effect i am a type 1 bipolar and have been hospitalized in the past,,0
436,436,8/2/2006 4:56:05 PM,5 Stars,Rated  for Bipolar I disorder Report ,if youre frustrated with weight gain try this id been taking depakote for 9 years and have attemped other meds which havent worked out while the depakote had been effective in managing the bipolar condition id also gained close to 60 pounds in those 9 years id tried everything to combat the weight gain but nothing worked short of starving myself which can also push me into a manic spin since beginning the switch to lamictal i have lost a total of 15 pounds in the last three months the stability that i experienced while taking depakote has remained the only other side effect ive noticed is a dry mouth but it never hurts to drink more water the titration period can be a pain but once up to speed ease of use is excellent this has been the best experience ive had yet with medication treatment for bipolar condition for those who think that weight gain is a vanity issue id say that obesity also poses a danger to health and selfesteem hard to feel positive about yourself and the world when you are feeling like jabba the hutt check in 80206 ive now been taking lamictal for over a year ive lost a total of 45 pounds the symptoms of bipolar disorder have continued to be manageable although i do notice more of a feeling of slight mania than when i was taking depakote that might just be my natural state of being without the depakote head foggy brain thing a friend has commented to me that not every feeling i have can be attributed to mood disorder some of my feelings and behaviours are actually part of my psyche andor due to actual situations my life and sense of selfesteem are noticeably improved due to switching to lamictal family friends and acquaintences have all remarked on it i feel as close to normal as i can imagine feeling its a miracle as far as im concerned,"bipolar disorder, dry mouth, mania, obesity, pain",1
437,437,7/26/2006 6:32:44 PM,3 Stars,Rated  for Bipolar II disorder Report ,decided to quit an update on my experience with the lamotrigine quit using about a week ago withdraw wasnt pleasant but tolerable side effects like extremely raw throat and anxiety to name a few i was worried about the anxiety the most and could not see taking something that didnt seem to make things better however now that i have quit and the black clouds have moved in i am re thinking the side effects versus the effects the problem with lamotrigine to me is i am looking for something that i can become stabilised with and not have to constantly increase the dosage bp11 sucks,anxiety,1
438,438,7/15/2006 5:03:59 AM,1.5 Stars,Rated  for Migraine Report ,good for bipolar disorder not for migraines i have bipolar disorder and lamictal works wonderful to keep it under controlhowever it does absolutely nothing for my migraines,bipolar disorder,1
439,439,7/12/2006 1:32:19 PM,2 Stars,Rated  for Bipolar I disorder Report ,headache gave me bad headache and did not help my manic episode nor the depression,"depression, headache, manic episode",1
440,440,7/3/2006 4:10:49 PM,3 Stars,Rated  for Bipolar II disorder Report ,so so i was diagnosed with bipolar ii a few months ago and i started takeing lamictal and abilify 5 mg of abilify and with 25 mg of lamictalon up to 2oo i have noticed no side effexts except a small rash the second week but it went away quickly to be honest i havnt noticed too much of a difference i still get moody still depressed and anxiety i just started 200mg so maybe that will help hopefullt anyway,"anxiety, rash",1
441,441,7/2/2006 3:49:55 PM,2.5 Stars,Rated  for Epilepsy Report ,side effects slowing progress started on 25mg per day for a week slowly worked up to 300mg but the headaches nausea anxiety dizziness night sweats insomnia muscle aches and depression were too much to handle think ive got everything but the rash and so ive gone back down to 200mg per day had 4 seizures whilst weaning off trileptal and onto lamictal but none in the last 2 weeks am finding the nausea and depression very taxing but hoping to start feeling better just worried that im only on my half dose im meant to be taking 400mgday by now but just cant cope with symptoms have been on epilim topamax trileptal keppra and now this just cannot seem to find one that stops the grandmals and is tolerable am seriously considering surgery have been medically boarded from work and im only 25 so am very bored,"anxiety, depression, dizziness, insomnia, nausea, night sweats, rash, surgery",1
442,442,7/2/2006 2:42:16 AM,2.5 Stars,Rated  for Bipolar II disorder Report ,third trial i got sjs twice beofre and i am now on my third trial slow going at 5 mg each step rather then 25 mg well see,,0
443,443,6/30/2006 5:17:01 PM,4.5 Stars,Rated  for Bipolar II disorder Report ,good this is the first and only med ive taken for bipolar 2 i was only diagnosed a year ago i just pray i dont go into another depression because i dont know if ill survive i dont have a lot of willtolive since my son was killed in a car accident i still tend to hae hypomania and spend money foolishly and i ake up very depressed in the morning but it does resolve in an hour it helps that i have to hurry around to get to work weekendsnot so good plus im up until very late at night i start to feel good about 10pm anyone else have that kind of sleep problem i want to get up and do my housework then i dont have side effects i was started on a very small dose a part of one pill at the lowest strength because my dr felt that the skin reaction was less if one started that way,"accident, depression, hypomania, skin reaction",1
444,444,6/29/2006 4:41:22 PM,5 Stars,Rated  for Bipolar I disorder Report ,great no side effects and taken with prozac and seroquel has been highly effective in keeping my mood stable,,0
445,445,6/28/2006 3:15:17 PM,5 Stars,Rated  for Bipolar II disorder Report ,bpii brilliant generic lamictrogen works fine i started with this drug when orignally starting treatment and of the set of 3 this is the only one i have not changed ive replaced the other two it really sorted rapid cycling though i had to take it up to 600mgday which is much higher than the usually effective 200mgday i dont know why there is absolutely no remaning side effects with an otherwise apparently complicated drug during the first 2 weeks i did experience some crazy lightsensitivity had to keep my eyes closed outdoors,,0
446,446,6/28/2006 12:26:23 PM,4 Stars,Rated  for Bipolar II disorder Report ,dose at 100mg started working well at 100mg my bipolar ii is more under control my thoughts were calmed and alot of the empty feelings subsided i also do not cry so easily i am not where i need to be but definitly feel the lamictal is working no side effects so far negitive would be how slow the dosage must be increased do to the possible rash i hope as my dose increases maybe to 200mg i will feel even better heres hoping,rash,1
447,447,6/28/2006 2:02:21 AM,4.5 Stars,Rated  for Bipolar Disorder NOS Report ,has greatly reduced depression combined with lithium it is doing great in giving 6 yo son stability greatly reduced his frustration intolerance irritability raging negative attitude odd shape was hard to split which we needed for over a year i think it is great w no side effects i can tell and i think fear of the rash is keeping too many patients and pdocs from it,"depression, fear, frustration, irritability, rash",1
448,448,6/27/2006 9:14:08 PM,2 Stars,Rated  for Bipolar I disorder Report ,expensive with bad side effects this med caused me to temor constantly and uncontrollably but it did control most episodes the effectiveness wears off for long term use,,0
449,449,6/27/2006 8:12:25 PM,4.5 Stars,Rated  for Bipolar II disorder Report ,lamictal worked for me where no other med ever has although i have a few side effects this has been by far the most effective mood stabilizer i have ever used,,0
450,450,6/27/2006 8:06:16 PM,4 Stars,Rated  for Bipolar I disorder Report ,best ive used i struggled with weight gaindrowsiness memory loss anxiety etc etc etc with all of the otherlithium valproic acid zyprexa etc ive tried over the past 15 years lamictal is the most benign and effective yet as far as i can tell it has no nasty side effects and seems to keep me on a fairly even keel in combo with seroquel andwhen depressedcelexa or welbutrin the only downside is that im at the max dosage so cannot adjust it when i feel an episode coming on,"anxiety, memory loss",1
451,451,6/27/2006 3:27:02 PM,4 Stars,Rated  for Bipolar II disorder Report ,works for bp 2 this was recently added to my sont cocktail of medications it has improved his mood but must be monitored closely after 2 months he became increasingly agitated but that improved with lowering the dosage back to 25 mgday,,0
452,452,6/27/2006 1:49:12 PM,0 Stars,Rated  for Bipolar I disorder Report ,very poor did not work made me very irritable and combative,,0
453,453,6/27/2006 12:28:20 AM,3.5 Stars,Rated  for Bipolar II disorder Report ,pretty darn good finally something to write home about i am bp 2 rapid cycle normally i am scared of taking drugs but gave in to try lamictal when i first started i felt more like myself than i have in years the good feeling does wear off but keeping moods level still works i am thinking of upping my dose to 50mg but there are some weird side effects such as really tender breasts and ovaries and a wee bit of a memory problem i also had some itching and mild burning on the skin but it went away over all i think it works well,,0
454,454,6/26/2006 7:56:57 PM,4.5 Stars,Rated  for Bipolar II disorder Report ,it works i stopped zoloft cold turkey and lost a job due to a dive into obssesive bp but i didnt know it was bp at the time i got diagnosed and got taking lithium it seemed to cancel out the ever present voice of depression but didnt do anything to stop the hypomania i told the pdoc i needed something else and she mentioned lamictal but said it would be a last resort and put me on depakote which id hated from back before i got on the zoloft i researched and at my next visit after stopping depakote and slowing ramping down off lithium up to my next appointment i told her that i wanted to try lamictal im in my 7th week now and finally am at 100mg after moving up 25 50 and 75 for two weeks each btw no rash here there is a tremendous difference in my life though im currently rapid cycling big time days now instead of weeks as before the peaks and valleys are not nearly as high or low and they go away faster if this is as good as it gets ill take it forever im hoping that stabilizing on 100m or a little higher will stop the rapid cycling but as noted my illness is bearable now that im no longer an unpredictable stranger to my family now i need to spend some time finding out who i really am without the soggy weight of that bp overcoat dragging me down,"depression, hypomania, rash",1
455,455,6/25/2006 4:39:42 AM,4.5 Stars,Rated  for Bipolar Disorder NOS Report ,sailing calmer seas headaches yes for the first month but i feel soooo much more together and more like myself than i have in years,,0
456,456,6/24/2006 3:06:56 PM,3.5 Stars,Rated  for Bipolar I disorder Report ,wouldve been great but it worked well enough and i would have been happy to keep taking it but i got a rash not the mean and nasty death rash but rashno the rash lasted a good long time i can still see marks from it on my skin apart from the rash it was decent not so many outbursts,"death, rash",1
457,457,6/23/2006 4:30:23 PM,4 Stars,Rated  for Bipolar II disorder Report ,nothing better for bp depression i have bp2 and have been on lamictal since 1998 i am med sensitive so my pdoc started me out at 125 mgs and i increased by that amount every 4 days until i got to 200 mgs ive tried increasing it beyond 200 mgs in the past but get a lot of anxietyagitation probably due to the antidepressant properties 200 mgs has been my mainstay ive been on just about all the meds in conjunction with lamictal the best has been depakote at a low low dose it increases the lamictal levels and ill take all the antidepressant effect i can give it a try and stick with it while you are titrating i owe my life to this med,depression,1
458,458,6/23/2006 5:29:11 AM,4 Stars,Rated  for Bipolar I disorder Report ,on lamotrigine for 1 month results positive yes even though i have been on lamotrigine generic in canada for just 1 month with titration from 25 mg per day to 100 mg right now with 750 mg of epival down from initial 1000 per day supplemented by 100 mg of zoloft i have never felt calmer in my whole adult life for the past 10 days or so i have also slept very well and my restless leg syndrome which i have always had has disappeared so far no side effects at all cross our fingers i think there is real hope with this treatment and so does my psychiatrist whom i have known for 23 years he and i get along very well neige,,0
459,459,6/21/2006 2:42:55 PM,5 Stars,Rated  for Depression Report ,still working for treament resistant depression lamictal is the best mood stabilizer for me and has helped my treatment resistent depression pricey but worth it the cocktail zoloft 100mg and adderall xr 10mg in the morning and lamictal 200mg at night i think lamictal made me feel weird when i took it in the daytime nighttime no problems,depression,1
460,460,6/20/2006 12:57:02 AM,5 Stars,Rated  for Bipolar II disorder Report ,excellent wonderful most effective of any ive used no side effects,,0
461,461,6/16/2006 2:05:55 AM,5 Stars,Rated  for Bipolar II disorder Report ,it has saved my daily existance lamictal started working from the beginning i am and have been at 300mg daily for 5 years i have stated many times i would give up all of my other medications but never my lamictal i call it my lifeline,,0
462,462,6/11/2006 3:42:00 AM,4 Stars,Rated  for Generalized anxiety disorder (GAD) Report ,amazing lamictal is a mood stabilizer for me my positive personality returned amazingly lamictal has been excellent with my low back nerve pain i can walk without a cane lamictal is usually introduced into the system slowly without any side effects,pain,1
463,463,6/9/2006 4:49:57 AM,4.5 Stars,Rated  for Bipolar II disorder Report ,made me feel like a whole person i have to say that i really do appreciate what lamictal has done for me i did however have some dizzy spells when i first started out on it the doc started me on the 25 mg to work me up to higher dosage and i immediately notices some dizziness in the first 23 days but it went away quickly i then was raised to 50 mg i again experienced some dizziness a couple of days after the higher dosage and perhaps some tiredness when at work but nothing too extreme then after about a month of 50 mg the doc raised me to the 100 mg the only thing that i noticed different when going on 100 mg was that for about 2 weeks i was having a difficult time falling asleep but i started trying to take the pill a bit earlier in the evening rather than right before hitting the sack and that seemed to help me one thing that can be a barrier for some is that lamical is a bit expensive even with a good prescription plan i did however discover that the less pills they put in the bottle no matter what the dosage is of each pill the less expensive it gets this is something i dont quite understand perhaps it has something to do with being charged for how many pills the pharmacist has to count out i definitely notice changes in my mood i can think more clearly i dont have a million thoughts racing through my head like i used to have my speech used to be very rapid but that has slowed down a lot and my doctor has noticed this as well it pulled me out of a lot of depression i was dealing with i seem to have more ease with brushing irritable situations off my shoulder and going on my merry way i love it my only concern now is that my husband and i are wanting to start a family now so we are planning on weaning me off the medication as to prevent any birth defects whenif i become pregnant but as soon as i do have a baby i plan to go right back on it because of course dont we all want to feel like a whole person i know i d,"depression, dizziness, dizzy spells",1
464,464,6/5/2006 8:22:47 PM,5 Stars,Rated  for Bipolar II disorder Report ,lamictal saved my life no side effects for me it brought me out of a deep pit of hell i had been in for a year,,0
465,465,6/5/2006 10:06:42 AM,3.5 Stars,Rated  for Bipolar II disorder Report ,good lamictal together with prozac works for me i was diagnosed with bp2 about 10 months ago after 30 years of misdiagnosis by british doctors and a couple of psychologists in the uk they used to give me valium frissium librium homeopathic medicine etc for my bad nerves more recently i was prescribed prozac alone which made me manic the combination of prozac 20 mg and lamictal 200 mg has made me feel what i think is close to normal whatever that is i also take provigilmodifinal 100mg which keeps away the drowsiness caused by prozac and is really the last piece of the cocktail jigsaw lamictal has made short term memory deteriorate and i have to reread short passages of text more than once to get the meaning but this is an acceptable side effect and i know that the alternative is to exerience those very painful depressive periods so keep on taking it and try not to miss the high manic phases too much but werent they fun,drowsiness,1
466,466,5/30/2006 9:23:49 PM,4 Stars,Rated  for Bipolar I disorder Report ,nausea anyone very effective treatment for mostly manic bipolar however nausea is terrible and almost constant i dont read about a lot of other people with this problem anyone deal with this,nausea,1
467,467,5/30/2006 12:32:07 PM,0.5 Stars,Rated  for Bipolar II disorder Report ,itching itching and more itching having been resistant to other frontline meds my psychiatrist suggested lamictal he gave me the starter pak which starts you at 25mg once per day for 2 weeks before moving up to the next higher dose prior to taking this drug i did a lot of research and was fully familiar with the rash potential against my better judgment i decided to give it a shot and i even cut the 25 mg pills in half so my initial starting dose was 125 on the first day within a few hours of taking the 125 mg dose i developed a mild itching all over checked with my doc and he said to monitor myself but not serious enough to discontinue so i continue with the 125 dosing regimen little by little the itching increased to the point it was keeping me up at night on the 8th day of treatment i woke up with red puffy eyes intense itching so bad i wanted to tear my skin off coughing and red blotches all over my chest and arms i contacted my doc who recommended discontinuing the medication as i clearly could not tolerate it if i continued treatment i ran the risk of developing a very serious rash so took the remaining pills and flushed them down the toilet good thing i didnt pay for this starter pak sample from doc or else i would have been really mad at wasting my money i know that when this medication works it really helps people however for those who get the rash it is an awful medication when it is bad it is really bad it is a shame that a medication that has the potential to really help people has such serious drawbacks i wonder if the manufacturer downplays the number of rashes caused by this medication anyway tread cautiously with this medication i will never use it again try to use other meds if you can and use this only as a last resort it is no joke,"rash, red blotches",1
468,468,5/28/2006 3:13:47 AM,2.5 Stars,Rated  for Bipolar I disorder Report ,didnt do much i began taking lamictal as an addon to zyprexa and didnt notice a huge difference though i didnt feel bad i decided to stop the zyprexa and try monotherapy with lamictal and roughly two weeks later packed all of my husbands things in trash bags and attempted to throw him out of the house i was crying constantly and paranoid of everything i didnt realize i was in the throes of a mixed state until my therapist told me i was in trouble i stopped the lamictal soon after that the other problem that i had with this medication was that i spotted while on my birth control pills if youre taking birth control be careful with this medit could make them not work my doctor told me then that lamictal was safe with birth control but i was paranoid anyway and now theyre saying that it could cause them to be less effective,crying,1
469,469,5/25/2006 6:07:04 PM,4.5 Stars,Rated  for Bipolar II disorder Report ,saved my life i am bipolar ii for more than 30 yearsthis is the first med that worked for me with magnificant results in 14 months i was only depressed for two months something i never had anymore for more than ten years i have my life backbecause of lamictal i still have my family work friends ,,0
470,470,5/25/2006 4:41:47 AM,4.5 Stars,Rated  for Bipolar I disorder Report ,for depression great but pay attention side effects minor muscle aches and well see below was given lamictal for severe depression which worked extremely well knocked it out cold thebestthingever i experienced some mild to moderate irritability as i was titrating had ups and downs along the way hitting sweet spots and then hit 225mg and i turned into a psychotic manic mess added topamax which helped very much for quite some time and then we decided to up my lamictal 75mg more which knocked me on my ass went back down to 25mg and ive been somewhat stable ever since i was then able to lower my topamax dosage for depression best thing on the market for me although i have spoken with others who have experienced the same manic effect,"depression, irritability",1
471,471,5/24/2006 6:36:27 PM,1.5 Stars,Rated  for Bipolar II disorder Report ,not sure yet only 5 weeks now still on effexor 75 xr 1x a day will be going off soon maybe more patient and dont have to do two things at a time anymore i think before i react more now,,0
472,472,5/24/2006 5:52:23 PM,4.5 Stars,Rated  for Bipolar Disorder NOS Report ,excellent recently increased doseage,,0
473,473,5/23/2006 5:40:02 PM,3.5 Stars,Rated  for Bipolar Disorder NOS Report ,ok this worked great for a few months i will soon taper my daughter off this and try herbal remedies she is 11,,0
474,474,5/22/2006 11:30:10 PM,0 Stars,Rated  for Bipolar II disorder Report ,horrible i was only on it a couple of days because it caused a rash on me,rash,1
475,475,5/22/2006 11:21:35 PM,4.5 Stars,Rated  for Bipolar II disorder Report ,pretty good take l carnosine carnosine helps its an amino acid,,0
476,476,5/20/2006 8:17:12 PM,5 Stars,Rated  for Bipolar II disorder Report ,lamictal gave me my life back i had been taking symbyax for 6 months although it kept me from jumping out the window to be honest i still felt awful and was socially withdrawn i also gained 60 pounds while taking it in spite of conscientious dieting as someone with a genetic predisposition to diabetes i was desperate to find a more weightneutral treatment i tried lamictal and have been on it for 2 months in less than a week i felt my depression lifting significantly after a few weeks i find myself feeling better than i have in many years i am experiencing happiness and relearning joy in living after fearing i would never feel these things again my social withdrawal has vanished my libido has returned after having been wiped out for many years by antidepressants its so nice to feel sexually normal again lamictal has been a miraculous treatment for me that has given me my life back,depression,1
477,477,5/20/2006 12:27:09 AM,5 Stars,Rated  for Bipolar I disorder Report ,stable for a year miracle drug almost 1 year update it has been a year on this medication now it has been nothing short of a lifesaver since the initial stablization i have increased to 300mg a day over time i needed a little more to maintain efficacy apparently that is very typical the real beauty of lamictal though is that it doesnt require you to take all sorts of antidepressants with it just one med does the trick in my case i continue to take the 200mgday of topamax that i was taking before beginning lamictal didnt want to mess with a combination that seemed to be working im also taking various herbal and vitamin supplements a multivitamin omega 3 fatty acids b complex and maca female hormone balancing supplement i take everything at night now i was finding that the lamictal at the higher dosage was really making me sleepy when i took it in the morning i also find that i tend to just nod off easily throughout the day like when im working at the computer etc so i have to really be alert to that when im driving not been a problem thus far but for long trips i would be extra careful i still have some real difficulties with major depression right before my period so my pdoc just prescribed prozac to be taken just for the week before my period starts if i feel really depressed and suicidal but last month i was okay so ill have to see ill probably put that into a separate rating overall my life has been transformed ive been taking classes for the past year at the local state university back at school after a long absense pulling straight as life is still a struggle sometimes but this medication makes so much more possible thanks again to this website for helping me find it i have been to hell and back when i started lamictal i was in a deep black depression a hairs breadth from hospital i was suicidal and unable to wo,"depression, major depression",1
478,478,5/19/2006 9:51:58 PM,4 Stars,Rated  for Bipolar II disorder Report ,good this medication slows my mind the spinnig negitive thoughts and feelings are under control as is my depression i am glad i am taking it,depression,1
479,479,5/18/2006 1:31:18 AM,1.5 Stars,Rated  for Bipolar II disorder Report ,dont see any difference with or without it doc finally upped it to 300 and it still doesnt do anything for me,,0
480,480,5/17/2006 7:33:13 AM,5 Stars,Rated  for Bipolar II disorder Report ,try it a godsend amazing this drug is the only thing that has ever worked well for me this drug is a miracle and i would know because i have tried so many it is unlike anything else there are some headaches in the beginning but stick with it they go away my doctor described bipolar like little seizures going on in the brain and if you can catch them soon enough and stop them they wont get worse over time or damage your brain if you treat them early you are better off dont waste any more time note i am not a doctor i would recommend this even for people with treatmentresistant depression i think some peoples brains are wired in a bipolar manner and just havent experienced the other side enough to know its there just know that this stuff rocks i refused to take it in the beginning because i was so off the deep end and all of a sudden a month later i was in shock how crazy i must have been my relationship with my parents was saved,"depression, shock",1
481,481,5/16/2006 10:18:27 PM,4.5 Stars,Rated  for Bipolar Disorder NOS Report ,a better solution i have come off depakote and have replace it gradually with lamotragine so far i am impressed i am calmer thinking straighter and ive noticed that i have lost my increased appetite already i still crave chocolate but to a lesser degree im still having mood swings but nothing like before i came off depakote i think i had built up a tolerance,"increased appetite, mood swings",1
482,482,5/16/2006 6:04:55 PM,0.5 Stars,Rated  for Bipolar II disorder Report ,awful sideeffects after a week on it i got flulike symptoms sore throat possible fever etc and extreme lethargy a couple days later i was very itchy on my head under my hair and back the next day is when the burning began my skin burned as if it were really on fire from the inside of my body the only thing i can relate it to is a really bad sunburn when you can feel the heat of it after but this was much more intense and much worse there was no redness like a sunburn has either this burning took place on my head face nose ears back of neck front of neck upper arms lower arms back and upper legs very occassionally the location would change throughout the day and be either one place or multiple places from the list i just gave it was absolutely awful i did not take the med again after that as it may have been a precursor to stevensjohnson syndrome the first many hours after my first missed dose the burning turned 180degrees to the complete opposite extreme freezing i hate the cold so that was even worse than burning p i also had blurred vision in the morning the burning was back id rather have that than the cold so it was relief to some amount and the blurred vision was gone it took a week for the burning to go away,"lethargy, redness, stevensjohnson syndrome, sunburn",1
483,483,5/12/2006 10:18:56 PM,1.5 Stars,Rated  for Bipolar I disorder Report ,doctor swears by lamictall i think my doctor got a good show from the drug rep on this drug i do not know what it has done for me its in the lineup of pills every morning and every night i have not found it to be singularly significant is helping my depressive cycles some people do find this med helpful my doctor never wants to take me off even when i question its efficiency,,0
484,484,5/11/2006 11:58:03 AM,3.5 Stars,Rated  for Bipolar II disorder Report ,i owe a lot to the rabbis wife its a jokelamictal sounds like the name of an easterneuropean jewish woman in the shtetl before this drug i had rages that i wished i could control but couldnt i got myself fired andor in trouble at work in relationships elsewhere i was usually depressed and hopeless punctuated by fits of rage and delusionsseeing other people as monsters who were out to kill me or those i love thats all gone now and the rash mystique is overblown see crazymedsorg for more on that,"rage, rash",1
485,485,5/8/2006 8:32:23 PM,3.5 Stars,Rated  for Bipolar II disorder Report ,finally something that works use of lamactil after 1 yr has been effective lamactil has antidepressant properties in which helps lift depression as well as a stablizing effect on your moods most common side effect dry mouth nausea and of course drowsiness ive noticed memory problems it also messes with my periods do not drink alcohol while on this because you wont be able to move i am relieved to find a medicine that works for me,"depression, drowsiness, dry mouth, nausea",1
486,486,5/8/2006 8:07:15 PM,4 Stars,Rated  for Bipolar I disorder Report ,hail lamictal i have tried numerous mood stabilisers which have not been effective for my mainly depressive bipolar whilst i have to pay 180 per month for lamictal australia it is worth every cent it has placed my family in financial difficulties but i have never been this good 1 12 years down the track and i still find lamictal the mood stabiliser for me i usually go off the rails around september spring each year and have survived the last two major mood shifts the severity of these shifts have deminished significantly so that i can still function even if i do withdraw in self preservation the price has come down to 160 per 28days but it is still worth every cent,,0
487,487,5/6/2006 2:55:21 PM,4 Stars,Rated  for Bipolar II disorder Report ,very effective finally something that has helped me i noticed the difference right away however i have to use it in combination with wellbutrin,,0
488,488,5/5/2006 5:51:12 PM,0.5 Stars,Rated  for Bipolar II disorder Report ,became very agitated with anger the drug made me very agitated and left me with high triggered with anger i had energy but not good energy,anger,1
489,489,5/5/2006 5:46:48 PM,4 Stars,Rated  for Bipolar II disorder Report ,lamictal worked well then stopped 250g lamictal 2x daily worked well for several years but eventually stopped working the only side effect was trouble balancing if i was trying to step over or reach for something,,0
490,490,5/4/2006 11:42:50 PM,5 Stars,Rated  for Epilepsy Report ,eased off the tonic clonic seizures eased off the tonic clonic seizires from 34 a week to 23 a month caused tiredness and made me feel a little sick in stomach but maxolyn eased that off,,0
491,491,5/4/2006 6:03:59 PM,3.5 Stars,Rated  for Epilepsy Report ,so far so good this medication tastes horrible and the pills are very chalky but i havent had too many problems unless i dont take my medicine on its regular basis i forget sometimes and the partial seizures will sneak through then,partial seizures,1
492,492,5/4/2006 5:43:35 PM,3.5 Stars,Rated  for Bipolar II disorder Report ,effective but caused headaches i took this with seroquel 800mg and had significant relief it was amazing how well it worked i was extremely pleased however at the 12th week i developed reactions to both meds specifically incredible headaches which through research i linked to the lamictal oddly it is one of the few of its class that cause them so i had to quit it i recently tried to reintroduce it at 25mg and got an incredible migraine immediately it works wonders but i cant take the pain cost for me was an na bec of my insurance at the time 3mo supply for 6,"migraine, pain",1
493,493,5/4/2006 5:06:52 PM,0.5 Stars,Rated  for Epilepsy Report ,caused seizures dr gave me one month starter pack the longer i took lamictal the more jerking seizures i had until my whole upper body was going back and forth,,0
